MatchTime,Weekday,Month,Day,Year,Time,Composite,Home,Away,Stadium
"Wednesday, May 6, 2015 9:30PM EDT",Wednesday,May,6,2015,21:30,2015-05-06 21:30,Real Salt Lake,LA Galaxy,Rio Tinto Stadium
"Friday, May 8, 2015 8:00PM EDT",Friday,May,8,2015,20:00,2015-05-08 20:00,Orlando,New England,Citrus Bowl
"Friday, May 8, 2015 10:00PM EDT",Friday,May,8,2015,20:00,2015-05-08 20:00,Colorado,San Jose,Dick's Sporting Goods Park
"Saturday, May 9, 2015 TBD",Saturday,May,9,2015,00:00,2015-05-09 00:00,Montreal,Portland,Stade Saputo
"Saturday, May 9, 2015 TBD",Saturday,May,9,2015,00:00,2015-05-09 00:00,Vancouver,Philadelphia,BC Place
"Saturday, May 9, 2015 3:00PM EDT",Saturday,May,9,2015,15:00,2015-05-09 15:00,Chicago,Real Salt Lake,Toyota Park
"Saturday, May 9, 2015 7:00PM EDT",Saturday,May,9,2015,19:00,2015-05-09 19:00,D.C. United,Sporting KC,RFK Stadium
"Saturday, May 9, 2015 7:30PM EDT",Saturday,May,9,2015,19:30,2015-05-09 19:30,Columbus,Seattle,Crew Stadium
"Saturday, May 9, 2015 8:30PM EDT",Saturday,May,9,2015,20:30,2015-05-09 20:30,FC Dallas,LA Galaxy,Toyota Stadium
"Sunday, May 10, 2015 5:00PM EDT",Sunday,May,10,2015,17:00,2015-05-10 17:00,Toronto FC,Houston,BMO Field
"Sunday, May 10, 2015 7:00PM EDT",Sunday,May,10,2015,19:00,2015-05-10 19:00,NY Red Bulls,New York City,Red Bull Arena
"Wednesday, May 13, 2015 8:00PM EDT",Wednesday,May,13,2015,20:00,2015-05-13 20:00,D.C. United,Orlando,RFK Stadium
"Friday, May 15, 2015 7:00PM EDT",Friday,May,15,2015,19:00,2015-05-15 19:00,New York City,Chicago,Yankee Stadium
"Friday, May 15, 2015 9:00PM EDT",Friday,May,15,2015,21:00,2015-05-15 21:00,FC Dallas,NY Red Bulls,Toyota Stadium
"Saturday, May 16, 2015 TBD",Saturday,May,16,2015,00:00,2015-05-16 00:00,Montreal,Real Salt Lake,Stade Saputo
"Saturday, May 16, 2015 TBD",Saturday,May,16,2015,00:00,2015-05-16 00:00,Vancouver,Seattle,BC Place
"Saturday, May 16, 2015 7:30PM EDT",Saturday,May,16,2015,19:30,2015-05-16 19:30,New England,Toronto FC,Gillette Stadium
"Saturday, May 16, 2015 8:30PM EDT",Saturday,May,16,2015,20:30,2015-05-16 20:30,Houston,Portland,BBVA Compass Stadium
