MatchTime,Weekday,Month,Day,Year,Time,Composite,Home,Away,Stadium
"Saturday, July 18, 2015 9:00PM EDT",Saturday,July,18,2015,21:00,2015-07-18 21:00,FC Dallas,D.C. United,Toyota Stadium
"Saturday, July 18, 2015 10:00PM EDT",Saturday,July,18,2015,20:00,2015-07-18 20:00,Real Salt Lake,Houston,Rio Tinto Stadium
"Saturday, July 18, 2015 10:30PM EDT",Saturday,July,18,2015,20:30,2015-07-18 20:30,Portland,Vancouver,Providence Park
"Sunday, July 19, 2015 5:00PM EDT",Sunday,July,19,2015,17:00,2015-07-19 17:00,Columbus,Chicago,Crew Stadium
"Sunday, July 19, 2015 7:00PM EDT",Sunday,July,19,2015,19:00,2015-07-19 19:00,Orlando,NY Red Bulls,Citrus Bowl
"Friday, July 24, 2015 11:00PM EDT",Friday,July,24,2015,23:00,2015-07-24 23:00,Real Salt Lake,Sporting KC,Rio Tinto Stadium
"Saturday, July 25, 2015 TBD",Saturday,July,25,2015,00:00,2015-07-25 00:00,Montreal,Seattle,Stade Saputo
"Saturday, July 25, 2015 7:00PM EDT",Saturday,July,25,2015,19:00,2015-07-25 19:00,NY Red Bulls,Colorado,Red Bull Arena
"Saturday, July 25, 2015 7:30PM EDT",Saturday,July,25,2015,19:30,2015-07-25 19:30,Columbus,Toronto FC,Crew Stadium
"Saturday, July 25, 2015 8:30PM EDT",Saturday,July,25,2015,20:30,2015-07-25 20:30,Chicago,New England,Toyota Park
"Saturday, July 25, 2015 9:00PM EDT",Saturday,July,25,2015,21:00,2015-07-25 21:00,Houston,LA Galaxy,BBVA Compass Stadium
"Saturday, July 25, 2015 9:00PM EDT",Saturday,July,25,2015,21:00,2015-07-25 21:00,FC Dallas,Portland,Toyota Stadium
"Sunday, July 26, 2015 TBD",Sunday,July,26,2015,00:00,2015-07-26 00:00,Vancouver,San Jose,BC Place
"Sunday, July 26, 2015 2:30PM EDT",Sunday,July,26,2015,14:30,2015-07-26 14:30,New York City,Orlando,Yankee Stadium
"Sunday, July 26, 2015 5:00PM EDT",Sunday,July,26,2015,17:00,2015-07-26 17:00,D.C. United,Philadelphia,RFK Stadium
"Saturday, August 1, 2015 TBD",Saturday,August,1,2015,00:00,2015-08-01 00:00,Seattle,Vancouver,CenturyLink Field
"Saturday, August 1, 2015 TBD",Saturday,August,1,2015,00:00,2015-08-01 00:00,New York City,Montreal,Yankee Stadium
"Saturday, August 1, 2015 7:00PM EDT",Saturday,August,1,2015,19:00,2015-08-01 19:00,Philadelphia,NY Red Bulls,PPL Park
"Saturday, August 1, 2015 7:00PM EDT",Saturday,August,1,2015,19:00,2015-08-01 19:00,D.C. United,Real Salt Lake,RFK Stadium
"Saturday, August 1, 2015 7:30PM EDT",Saturday,August,1,2015,19:30,2015-08-01 19:30,New England,Toronto FC,Gillette Stadium
"Saturday, August 1, 2015 7:30PM EDT",Saturday,August,1,2015,19:30,2015-08-01 19:30,Orlando,Columbus,Citrus Bowl
"Saturday, August 1, 2015 8:30PM EDT",Saturday,August,1,2015,20:30,2015-08-01 20:30,Sporting KC,Houston,Sporting Park
"Saturday, August 1, 2015 9:00PM EDT",Saturday,August,1,2015,21:00,2015-08-01 21:00,Colorado,LA Galaxy,Dick's Sporting Goods Park
"Sunday, August 2, 2015 5:00PM EDT",Sunday,August,2,2015,17:00,2015-08-02 17:00,San Jose,Portland,Avaya Stadium
"Sunday, August 2, 2015 7:00PM EDT",Sunday,August,2,2015,19:00,2015-08-02 19:00,Chicago,FC Dallas,Toyota Park
"Wednesday, August 5, 2015 TBD",Wednesday,August,5,2015,00:00,2015-08-05 00:00,Montreal,NY Red Bulls,Stade Saputo
"Wednesday, August 5, 2015 TBD",Wednesday,August,5,2015,00:00,2015-08-05 00:00,Toronto FC,Orlando,BMO Field
"Friday, August 7, 2015 11:00PM EDT",Friday,August,7,2015,23:00,2015-08-07 23:00,Portland,Chicago,Providence Park
"Saturday, August 8, 2015 TBD",Saturday,August,8,2015,00:00,2015-08-08 00:00,Montreal,D.C. United,Stade Saputo
"Saturday, August 8, 2015 TBD",Saturday,August,8,2015,00:00,2015-08-08 00:00,Vancouver,Real Salt Lake,BC Place
"Saturday, August 8, 2015 TBD",Saturday,August,8,2015,00:00,2015-08-08 00:00,Toronto FC,Sporting KC,BMO Field
"Saturday, August 8, 2015 7:30PM EDT",Saturday,August,8,2015,19:30,2015-08-08 19:30,Orlando,Philadelphia,Citrus Bowl
"Saturday, August 8, 2015 9:00PM EDT",Saturday,August,8,2015,21:00,2015-08-08 21:00,Colorado,Columbus,Dick's Sporting Goods Park
"Saturday, August 8, 2015 9:00PM EDT",Saturday,August,8,2015,21:00,2015-08-08 21:00,Houston,San Jose,BBVA Compass Stadium
"Sunday, August 9, 2015 4:00PM EDT",Sunday,August,9,2015,16:00,2015-08-09 16:00,LA Galaxy,Seattle,Stubhub Center
"Sunday, August 9, 2015 7:00PM EDT",Sunday,August,9,2015,19:00,2015-08-09 19:00,NY Red Bulls,New York City,Red Bull Arena
"Thursday, August 13, 2015 TBD",Thursday,August,13,2015,00:00,2015-08-13 00:00,New York City,D.C. United,Yankee Stadium
"Friday, August 14, 2015 11:00PM EDT",Friday,August,14,2015,23:00,2015-08-14 23:00,San Jose,Colorado,Avaya Stadium
"Saturday, August 15, 2015 7:00PM EDT",Saturday,August,15,2015,19:00,2015-08-15 19:00,NY Red Bulls,Toronto FC,Red Bull Arena
"Saturday, August 15, 2015 7:30PM EDT",Saturday,August,15,2015,19:30,2015-08-15 19:30,New England,Houston,Gillette Stadium
"Saturday, August 15, 2015 8:30PM EDT",Saturday,August,15,2015,20:30,2015-08-15 20:30,Sporting KC,Vancouver,Sporting Park
"Saturday, August 15, 2015 9:00PM EDT",Saturday,August,15,2015,21:00,2015-08-15 21:00,FC Dallas,LA Galaxy,Toyota Stadium
"Saturday, August 15, 2015 10:00PM EDT",Saturday,August,15,2015,20:00,2015-08-15 20:00,Real Salt Lake,Portland,Rio Tinto Stadium
"Sunday, August 16, 2015 5:00PM EDT",Sunday,August,16,2015,17:00,2015-08-16 17:00,Seattle,Orlando,CenturyLink Field
"Sunday, August 16, 2015 7:00PM EDT",Sunday,August,16,2015,19:00,2015-08-16 19:00,Philadelphia,Chicago,PPL Park
"Wednesday, August 19, 2015 7:30PM EDT",Wednesday,August,19,2015,19:30,2015-08-19 19:30,Columbus,New York City,Crew Stadium
"Wednesday, August 19, 2015 8:30PM EDT",Wednesday,August,19,2015,20:30,2015-08-19 20:30,Sporting KC,San Jose,Sporting Park
"Friday, August 21, 2015 11:00PM EDT",Friday,August,21,2015,23:00,2015-08-21 23:00,Portland,Houston,Providence Park
"Saturday, August 22, 2015 TBD",Saturday,August,22,2015,00:00,2015-08-22 00:00,Montreal,Philadelphia,Stade Saputo
"Saturday, August 22, 2015 TBD",Saturday,August,22,2015,00:00,2015-08-22 00:00,Vancouver,FC Dallas,BC Place
"Saturday, August 22, 2015 TBD",Saturday,August,22,2015,00:00,2015-08-22 00:00,Toronto FC,Orlando,BMO Field
"Saturday, August 22, 2015 7:00PM EDT",Saturday,August,22,2015,19:00,2015-08-22 19:00,D.C. United,San Jose,RFK Stadium
"Saturday, August 22, 2015 7:30PM EDT",Saturday,August,22,2015,19:30,2015-08-22 19:30,Columbus,Sporting KC,Crew Stadium
"Saturday, August 22, 2015 8:30PM EDT",Saturday,August,22,2015,20:30,2015-08-22 20:30,Chicago,Colorado,Toyota Park
"Saturday, August 22, 2015 10:00PM EDT",Saturday,August,22,2015,20:00,2015-08-22 20:00,Real Salt Lake,Seattle,Rio Tinto Stadium
"Sunday, August 23, 2015 5:00PM EDT",Sunday,August,23,2015,17:00,2015-08-23 17:00,LA Galaxy,New York City,Stubhub Center
"Wednesday, August 26, 2015 8:30PM EDT",Wednesday,August,26,2015,20:30,2015-08-26 20:30,Chicago,NY Red Bulls,Toyota Park
"Wednesday, August 26, 2015 9:00PM EDT",Wednesday,August,26,2015,21:00,2015-08-26 21:00,Colorado,Houston,Dick's Sporting Goods Park
"Friday, August 28, 2015 11:00PM EDT",Friday,August,28,2015,23:00,2015-08-28 23:00,San Jose,LA Galaxy,Avaya Stadium
"Saturday, August 29, 2015 TBD",Saturday,August,29,2015,00:00,2015-08-29 00:00,Toronto FC,Montreal,BMO Field
"Saturday, August 29, 2015 TBD",Saturday,August,29,2015,00:00,2015-08-29 00:00,New York City,Columbus,Yankee Stadium
"Saturday, August 29, 2015 7:00PM EDT",Saturday,August,29,2015,19:00,2015-08-29 19:00,Philadelphia,New England,PPL Park
"Saturday, August 29, 2015 7:30PM EDT",Saturday,August,29,2015,19:30,2015-08-29 19:30,Orlando,Chicago,Citrus Bowl
"Saturday, August 29, 2015 9:00PM EDT",Saturday,August,29,2015,21:00,2015-08-29 21:00,Houston,Vancouver,BBVA Compass Stadium
"Saturday, August 29, 2015 9:00PM EDT",Saturday,August,29,2015,21:00,2015-08-29 21:00,Colorado,Sporting KC,Dick's Sporting Goods Park
"Saturday, August 29, 2015 9:00PM EDT",Saturday,August,29,2015,21:00,2015-08-29 21:00,FC Dallas,Real Salt Lake,Toyota Stadium
"Sunday, August 30, 2015 5:00PM EDT",Sunday,August,30,2015,17:00,2015-08-30 17:00,Seattle,Portland,CenturyLink Field
"Sunday, August 30, 2015 7:00PM EDT",Sunday,August,30,2015,19:00,2015-08-30 19:00,NY Red Bulls,D.C. United,Red Bull Arena
"Saturday, September 5, 2015 TBD",Saturday,September,5,2015,00:00,2015-09-05 00:00,Seattle,Toronto FC,CenturyLink Field
"Saturday, September 5, 2015 TBD",Saturday,September,5,2015,00:00,2015-09-05 00:00,Montreal,Chicago,Stade Saputo
"Saturday, September 5, 2015 7:30PM EDT",Saturday,September,5,2015,19:30,2015-09-05 19:30,New England,Orlando,Gillette Stadium
"Saturday, September 5, 2015 10:30PM EDT",Saturday,September,5,2015,20:30,2015-09-05 20:30,San Jose,Philadelphia,Avaya Stadium
"Sunday, September 6, 2015 7:00PM EDT",Sunday,September,6,2015,19:00,2015-09-06 19:00,Columbus,FC Dallas,Crew Stadium
"Wednesday, September 9, 2015 TBD",Wednesday,September,9,2015,00:00,2015-09-09 00:00,Vancouver,Colorado,BC Place
"Wednesday, September 9, 2015 10:30PM EDT",Wednesday,September,9,2015,20:30,2015-09-09 20:30,Portland,Sporting KC,Providence Park
"Friday, September 11, 2015 7:00PM EDT",Friday,September,11,2015,19:00,2015-09-11 19:00,NY Red Bulls,Chicago,Red Bull Arena
"Saturday, September 12, 2015 7:00PM EDT",Saturday,September,12,2015,19:00,2015-09-12 19:00,Philadelphia,Columbus,PPL Park
"Saturday, September 12, 2015 8:30PM EDT",Saturday,September,12,2015,20:30,2015-09-12 20:30,Houston,Real Salt Lake,BBVA Compass Stadium
"Saturday, September 12, 2015 8:30PM EDT",Saturday,September,12,2015,20:30,2015-09-12 20:30,FC Dallas,New York City,Toyota Stadium
"Saturday, September 12, 2015 9:00PM EDT",Saturday,September,12,2015,21:00,2015-09-12 21:00,Colorado,D.C. United,Dick's Sporting Goods Park
"Saturday, September 12, 2015 10:30PM EDT",Saturday,September,12,2015,20:30,2015-09-12 20:30,San Jose,Seattle,Avaya Stadium
"Saturday, September 12, 2015 10:30PM EDT",Saturday,September,12,2015,20:30,2015-09-12 20:30,LA Galaxy,Montreal,Stubhub Center
"Sunday, September 13, 2015 5:00PM EDT",Sunday,September,13,2015,17:00,2015-09-13 17:00,Toronto FC,New England,BMO Field
"Sunday, September 13, 2015 7:00PM EDT",Sunday,September,13,2015,19:00,2015-09-13 19:00,Orlando,Sporting KC,Citrus Bowl
"Wednesday, September 16, 2015 TBD",Wednesday,September,16,2015,00:00,2015-09-16 00:00,New York City,Toronto FC,Yankee Stadium
"Wednesday, September 16, 2015 7:30PM EDT",Wednesday,September,16,2015,19:30,2015-09-16 19:30,New England,NY Red Bulls,Gillette Stadium
"Friday, September 18, 2015 7:00PM EDT",Friday,September,18,2015,19:00,2015-09-18 19:00,Sporting KC,FC Dallas,Sporting Park
"Saturday, September 19, 2015 TBD",Saturday,September,19,2015,00:00,2015-09-19 00:00,Montreal,New England,Stade Saputo
"Saturday, September 19, 2015 TBD",Saturday,September,19,2015,00:00,2015-09-19 00:00,Toronto FC,Colorado,BMO Field
"Saturday, September 19, 2015 TBD",Saturday,September,19,2015,00:00,2015-09-19 00:00,Vancouver,Seattle,BC Place
"Saturday, September 19, 2015 TBD",Saturday,September,19,2015,00:00,2015-09-19 00:00,New York City,San Jose,Yankee Stadium
"Saturday, September 19, 2015 7:00PM EDT",Saturday,September,19,2015,19:00,2015-09-19 19:00,D.C. United,Columbus,RFK Stadium
"Saturday, September 19, 2015 8:30PM EDT",Saturday,September,19,2015,20:30,2015-09-19 20:30,Chicago,Orlando,Toyota Park
"Saturday, September 19, 2015 9:30PM EDT",Saturday,September,19,2015,21:30,2015-09-19 21:30,Real Salt Lake,LA Galaxy,Rio Tinto Stadium
"Sunday, September 20, 2015 5:00PM EDT",Sunday,September,20,2015,17:00,2015-09-20 17:00,Portland,NY Red Bulls,Providence Park
"Sunday, September 20, 2015 7:00PM EDT",Sunday,September,20,2015,19:00,2015-09-20 19:00,Philadelphia,Houston,PPL Park
"Wednesday, September 23, 2015 8:30PM EDT",Wednesday,September,23,2015,20:30,2015-09-23 20:30,Houston,Sporting KC,BBVA Compass Stadium
"Friday, September 25, 2015 7:00PM EDT",Friday,September,25,2015,19:00,2015-09-25 19:00,NY Red Bulls,Orlando,Red Bull Arena
"Saturday, September 26, 2015 TBD",Saturday,September,26,2015,00:00,2015-09-26 00:00,Montreal,D.C. United,Stade Saputo
"Saturday, September 26, 2015 TBD",Saturday,September,26,2015,00:00,2015-09-26 00:00,Toronto FC,Chicago,BMO Field
"Saturday, September 26, 2015 TBD",Saturday,September,26,2015,00:00,2015-09-26 00:00,Vancouver,New York City,BC Place
"Saturday, September 26, 2015 7:30PM EDT",Saturday,September,26,2015,19:30,2015-09-26 19:30,New England,Philadelphia,Gillette Stadium
"Saturday, September 26, 2015 7:30PM EDT",Saturday,September,26,2015,19:30,2015-09-26 19:30,Columbus,Portland,Crew Stadium
"Saturday, September 26, 2015 8:30PM EDT",Saturday,September,26,2015,20:30,2015-09-26 20:30,Houston,Colorado,BBVA Compass Stadium
"Saturday, September 26, 2015 10:30PM EDT",Saturday,September,26,2015,20:30,2015-09-26 20:30,LA Galaxy,FC Dallas,Stubhub Center
"Sunday, September 27, 2015 5:00PM EDT",Sunday,September,27,2015,17:00,2015-09-27 17:00,Sporting KC,Seattle,Sporting Park
"Sunday, September 27, 2015 7:00PM EDT",Sunday,September,27,2015,19:00,2015-09-27 19:00,San Jose,Real Salt Lake,Avaya Stadium
"Friday, October 2, 2015 7:00PM EDT",Friday,October,2,2015,19:00,2015-10-02 19:00,D.C. United,New York City,RFK Stadium
"Saturday, October 3, 2015 TBD",Saturday,October,3,2015,00:00,2015-10-03 00:00,Toronto FC,Philadelphia,BMO Field
"Saturday, October 3, 2015 7:00PM EDT",Saturday,October,3,2015,19:00,2015-10-03 19:00,NY Red Bulls,Columbus,Red Bull Arena
"Saturday, October 3, 2015 7:30PM EDT",Saturday,October,3,2015,19:30,2015-10-03 19:30,Orlando,Montreal,Citrus Bowl
"Saturday, October 3, 2015 8:30PM EDT",Saturday,October,3,2015,20:30,2015-10-03 20:30,Chicago,New England,Toyota Park
"Saturday, October 3, 2015 9:00PM EDT",Saturday,October,3,2015,21:00,2015-10-03 21:00,Colorado,Real Salt Lake,Dick's Sporting Goods Park
"Saturday, October 3, 2015 10:30PM EDT",Saturday,October,3,2015,20:30,2015-10-03 20:30,Portland,Sporting KC,Providence Park
"Saturday, October 3, 2015 10:30PM EDT",Saturday,October,3,2015,20:30,2015-10-03 20:30,San Jose,Vancouver,Avaya Stadium
"Sunday, October 4, 2015 5:00PM EDT",Sunday,October,4,2015,17:00,2015-10-04 17:00,FC Dallas,Houston,Toyota Stadium
"Sunday, October 4, 2015 9:30PM EDT",Sunday,October,4,2015,21:30,2015-10-04 21:30,Seattle,LA Galaxy,CenturyLink Field
"Wednesday, October 7, 2015 TBD",Wednesday,October,7,2015,00:00,2015-10-07 00:00,Vancouver,FC Dallas,BC Place
"Saturday, October 10, 2015 9:00PM EDT",Saturday,October,10,2015,21:00,2015-10-10 21:00,Colorado,Montreal,Dick's Sporting Goods Park
"Wednesday, October 14, 2015 TBD",Wednesday,October,14,2015,00:00,2015-10-14 00:00,Toronto FC,NY Red Bulls,BMO Field
"Wednesday, October 14, 2015 9:00PM EDT",Wednesday,October,14,2015,21:00,2015-10-14 21:00,FC Dallas,Vancouver,Toyota Stadium
"Wednesday, October 14, 2015 9:30PM EDT",Wednesday,October,14,2015,21:30,2015-10-14 21:30,Real Salt Lake,Portland,Rio Tinto Stadium
"Friday, October 16, 2015 7:00PM EDT",Friday,October,16,2015,19:00,2015-10-16 19:00,Orlando,New York City,Citrus Bowl
"Friday, October 16, 2015 11:00PM EDT",Friday,October,16,2015,23:00,2015-10-16 23:00,San Jose,Sporting KC,Avaya Stadium
"Saturday, October 17, 2015 TBD",Saturday,October,17,2015,00:00,2015-10-17 00:00,Toronto FC,Columbus,BMO Field
"Saturday, October 17, 2015 7:30PM EDT",Saturday,October,17,2015,19:30,2015-10-17 19:30,New England,Montreal,Gillette Stadium
"Saturday, October 17, 2015 9:30PM EDT",Saturday,October,17,2015,21:30,2015-10-17 21:30,Real Salt Lake,FC Dallas,Rio Tinto Stadium
"Sunday, October 18, 2015 TBD",Sunday,October,18,2015,00:00,2015-10-18 00:00,NY Red Bulls,Philadelphia,Red Bull Arena
"Sunday, October 18, 2015 TBD",Sunday,October,18,2015,00:00,2015-10-18 00:00,D.C. United,Chicago,RFK Stadium
"Sunday, October 18, 2015 TBD",Sunday,October,18,2015,00:00,2015-10-18 00:00,Houston,Seattle,BBVA Compass Stadium
"Sunday, October 18, 2015 TBD",Sunday,October,18,2015,00:00,2015-10-18 00:00,LA Galaxy,Portland,Stubhub Center
"Sunday, October 25, 2015 5:00PM EDT",Sunday,October,25,2015,17:00,2015-10-25 17:00,Chicago,NY Red Bulls,Toyota Park
"Sunday, October 25, 2015 5:00PM EDT",Sunday,October,25,2015,17:00,2015-10-25 17:00,Columbus,D.C. United,Crew Stadium
"Sunday, October 25, 2015 5:00PM EDT",Sunday,October,25,2015,17:00,2015-10-25 17:00,Montreal,Toronto FC,Stade Saputo
"Sunday, October 25, 2015 5:00PM EDT",Sunday,October,25,2015,17:00,2015-10-25 17:00,New York City,New England,Yankee Stadium
"Sunday, October 25, 2015 5:00PM EDT",Sunday,October,25,2015,17:00,2015-10-25 17:00,Philadelphia,Orlando,PPL Park
"Sunday, October 25, 2015 7:00PM EDT",Sunday,October,25,2015,19:00,2015-10-25 19:00,Seattle,Real Salt Lake,CenturyLink Field
"Sunday, October 25, 2015 7:00PM EDT",Sunday,October,25,2015,19:00,2015-10-25 19:00,Vancouver,Houston,BC Place
"Sunday, October 25, 2015 7:00PM EDT",Sunday,October,25,2015,19:00,2015-10-25 19:00,FC Dallas,San Jose,Toyota Stadium
"Sunday, October 25, 2015 7:00PM EDT",Sunday,October,25,2015,19:00,2015-10-25 19:00,Portland,Colorado,Providence Park
"Sunday, October 25, 2015 7:00PM EDT",Sunday,October,25,2015,19:00,2015-10-25 19:00,Sporting KC,LA Galaxy,Sporting Park
