Match Time	Home Team	Away Team	Stadium
Saturday, May 30, 2015 TBD	Vancouver	Real Salt Lake	BC Place
Saturday, May 30, 2015 TBD	Toronto FC	San Jose	BMO Field
Saturday, May 30, 2015 TBD	New York City	Houston	Yankee Stadium
Saturday, May 30, 2015 7:00PM EDT	D.C. United	Philadelphia	RFK Stadium
Saturday, May 30, 2015 7:30PM EDT	Orlando	Columbus	Citrus Bowl
Saturday, May 30, 2015 8:30PM EDT	Chicago	Montreal	Toyota Park
Saturday, May 30, 2015 9:00PM EDT	Colorado	Portland	Dick's Sporting Goods Park
Sunday, May 31, 2015 5:00PM EDT	Seattle	NY Red Bulls	CenturyLink Field
Sunday, May 31, 2015 7:00PM EDT	New England	LA Galaxy	Gillette Stadium
Wednesday, June 3, 2015 TBD	Montreal	Vancouver	Stade Saputo
Wednesday, June 3, 2015 7:00PM EDT	Philadelphia	Columbus	PPL Park
Wednesday, June 3, 2015 7:00PM EDT	D.C. United	Chicago	RFK Stadium
Friday, June 5, 2015 9:00PM EDT	Houston	NY Red Bulls	BBVA Compass Stadium
Saturday, June 6, 2015 7:00PM EDT	D.C. United	Toronto FC	RFK Stadium
Saturday, June 6, 2015 7:00PM EDT	Philadelphia	New York City	PPL Park
Saturday, June 6, 2015 7:30PM EDT	Columbus	Montreal	Crew Stadium
Saturday, June 6, 2015 8:30PM EDT	Chicago	Orlando	Toyota Park
Saturday, June 6, 2015 8:30PM EDT	Sporting KC	Seattle	Sporting Park
Saturday, June 6, 2015 10:30PM EDT	Portland	New England	Providence Park
Saturday, June 6, 2015 10:30PM EDT	LA Galaxy	Vancouver	Stubhub Center
Sunday, June 7, 2015 5:00PM EDT	Real Salt Lake	Colorado	Rio Tinto Stadium
Sunday, June 7, 2015 7:00PM EDT	San Jose	FC Dallas	Avaya Stadium
Saturday, June 13, 2015 TBD	Seattle	FC Dallas	CenturyLink Field
Saturday, June 13, 2015 TBD	New York City	Montreal	Yankee Stadium
Saturday, June 13, 2015 7:30PM EDT	Columbus	LA Galaxy	Crew Stadium
Sunday, June 14, 2015 7:00PM EDT	Orlando	D.C. United	Citrus Bowl
Friday, June 19, 2015 9:00PM EDT	Colorado	FC Dallas	Dick's Sporting Goods Park
Saturday, June 20, 2015 TBD	Seattle	San Jose	CenturyLink Field
Saturday, June 20, 2015 TBD	Montreal	Orlando	Stade Saputo
Saturday, June 20, 2015 TBD	Toronto FC	New York City	BMO Field
Saturday, June 20, 2015 7:00PM EDT	NY Red Bulls	Vancouver	Red Bull Arena
Saturday, June 20, 2015 10:30PM EDT	Portland	Houston	Providence Park
Saturday, June 20, 2015 10:30PM EDT	LA Galaxy	Philadelphia	Stubhub Center
Sunday, June 21, 2015 5:00PM EDT	D.C. United	New England	RFK Stadium
Sunday, June 21, 2015 10:00PM EDT	Real Salt Lake	Sporting KC	Rio Tinto Stadium
Wednesday, June 24, 2015 TBD	Toronto FC	Montreal	BMO Field
Wednesday, June 24, 2015 7:00PM EDT	Philadelphia	Seattle	PPL Park
Wednesday, June 24, 2015 7:30PM EDT	Columbus	New England	Crew Stadium
Wednesday, June 24, 2015 7:30PM EDT	Orlando	Colorado	Citrus Bowl
Wednesday, June 24, 2015 7:30PM EDT	NY Red Bulls	Real Salt Lake	Red Bull Arena
Wednesday, June 24, 2015 8:30PM EDT	Chicago	D.C. United	Toyota Park
Wednesday, June 24, 2015 11:00PM EDT	LA Galaxy	Portland	Stubhub Center
Friday, June 26, 2015 9:00PM EDT	FC Dallas	Houston	Toyota Stadium
Saturday, June 27, 2015 TBD	Toronto FC	D.C. United	BMO Field
Saturday, June 27, 2015 7:00PM EDT	Philadelphia	Montreal	PPL Park
Saturday, June 27, 2015 7:30PM EDT	New England	Vancouver	Gillette Stadium
Saturday, June 27, 2015 8:30PM EDT	Sporting KC	Colorado	Sporting Park
Saturday, June 27, 2015 10:00PM EDT	Real Salt Lake	Columbus	Rio Tinto Stadium
Saturday, June 27, 2015 10:30PM EDT	San Jose	LA Galaxy	Stanford Stadium
Sunday, June 28, 2015 5:00PM EDT	New York City	NY Red Bulls	Yankee Stadium
Sunday, June 28, 2015 7:00PM EDT	Portland	Seattle	Providence Park
Friday, July 3, 2015 9:00PM EDT	Houston	Chicago	BBVA Compass Stadium
Friday, July 3, 2015 11:00PM EDT	Seattle	D.C. United	CenturyLink Field
Saturday, July 4, 2015 TBD	Montreal	New York City	Stade Saputo
Saturday, July 4, 2015 7:30PM EDT	Columbus	NY Red Bulls	Crew Stadium
Saturday, July 4, 2015 9:00PM EDT	FC Dallas	New England	Toyota Stadium
Saturday, July 4, 2015 9:00PM EDT	Colorado	Vancouver	Dick's Sporting Goods Park
Saturday, July 4, 2015 10:00PM EDT	Real Salt Lake	Orlando	Rio Tinto Stadium
Saturday, July 4, 2015 10:30PM EDT	LA Galaxy	Toronto FC	Stubhub Center
Sunday, July 5, 2015 5:00PM EDT	Portland	San Jose	Providence Park
